0 = no limit,0 = بلا حد
"<p>The package <b>{0}</b> expired on {1}, and recipients can no longer reach it.</p>",<p>انتهت صلاحية الحزمة <b>{0}</b> بتاريخ {1}، ولم يعد بإمكان المستلمين الوصول إليها.</p>
A count only — the platform provides no record of who downloaded,عدد فقط — المنصة لا توفّر سجلًا لمن نزّل
"Accepts fields of the attached document, e.g. Employee/{employee_number} - {employee_name}",يقبل حقول المستند المرتبط، مثل: Employee/{employee_number} - {employee_name}
Active,نشطة
"Adds a Nextcloud button to the upload dialog so users can browse the service account's folders and attach a file that is already there. Off by default: normal uploads already go to Nextcloud, and this lets users see the folder tree.",يضيف زر Nextcloud إلى نافذة الرفع ليتمكن المستخدم من تصفح مجلدات حساب الخدمة وإرفاق ملف موجود مسبقًا. معطّل افتراضيًا: الرفع العادي يذهب إلى Nextcloud أصلًا، وهذا الخيار يتيح رؤية شجرة المجلدات.
Allow attaching existing Nextcloud files,السماح بإرفاق ملفات موجودة على Nextcloud
Allow download,السماح بالتنزيل
Allow download by default,السماح بالتنزيل افتراضيًا
"An app password, not the account password",app-password، وليس كلمة مرور الحساب
App password,كلمة مرور التطبيق
Archive: move to the deleted folder. Delete: remove permanently. Keep: leave the file untouched.,Archive: نقل إلى مجلد المحذوفات. Delete: حذف نهائي. Keep: إبقاء الملف كما هو.
Attach from Nextcloud,إرفاق من Nextcloud
Attached to doctype,مرتبط بنوع
Attached to name,مرتبط بمستند
Attached {0},أُرفق {0}
Attaching existing Nextcloud files is disabled,إرفاق الملفات الموجودة على Nextcloud معطّل
Attaching…,جارٍ الإرفاق…
Attachment storage,تخزين المرفقات
Attachment storage is switched off for the site.,تخزين المرفقات معطّل على مستوى الموقع.
Attachment storage was not enabled: the Nextcloud connection failed.<br><br>{0},لم يُفعَّل تخزين المرفقات: فشل الاتصال بـ Nextcloud.<br><br>{0}
Audit,الأثر
Awaiting manual delivery,بانتظار التسليم اليدوي
Cancellation reason,سبب الإلغاء
Cancelled,ملغاة
Cancelled by,ألغاها
Cancelled on,تاريخ الإلغاء
Cannot enable instance,تعذّر تفعيل الخادم
Cannot enable storage,تعذّر تفعيل التخزين
Company,الشركة
Connected as {0} · checked {1},متصل باسم {0} · فُحص {1}
Connected — {0},متصل — {0}
Connection,الاتصال
Connection failed — {0},فشل الاتصال — {0}
Contacting Nextcloud…,جارٍ الاتصال بـ Nextcloud…
Contents,المحتوى
Could not apply the download limit to this share,تعذّر ضبط حد التنزيل على هذه المشاركة
Could not create folder {0} ({1}),تعذّر إنشاء المجلد {0} ({1})
Could not download the file: {0},تعذّر تنزيل الملف: {0}
Could not list the folder ({0}),تعذّر عرض محتويات المجلد ({0})
Could not move the file ({0}),تعذّر نقل الملف ({0})
Could not reach Nextcloud.,تعذّر الوصول إلى Nextcloud.
Could not reach the server: {0},تعذّر الوصول إلى الخادم: {0}
Could not upload the file: {0},تعذّر رفع الملف: {0}
Created by,أنشأها
Created on,تاريخ الإنشاء
Default download limit,حد التنزيل الافتراضي
Default instance,الخادم الافتراضي
Default path template,قالب المسار الافتراضي
Defaults,الإعدادات الافتراضية
Deleted folder,مجلد المحذوفات
Document type,نوع المستند
Download count,عدد التنزيلات
Download limit,حد التنزيل
Draft,مسودة
Email,البريد الإلكتروني
Email {0} appears more than once in the recipient list,البريد {0} مكرر في قائمة المستلمين
Enabled,مفعّل
Error,الخطأ
Expired,منتهية
Expires on,تنتهي في
Expiry (days),مدة الصلاحية (أيام)
Expiry cannot be negative,مدة الصلاحية لا يمكن أن تكون سالبة
Failed,فشل
File,الملف
File download failed ({0}),فشل تنزيل الملف ({0})
File upload failed ({0}),فشل رفع الملف ({0})
Folder path,مسار المجلد
Full name,الاسم
Include private,يشمل الخاص
Include public,يشمل العام
Included doctypes,الأنواع المشمولة
Instance,الخادم
Instance is in use,الخادم قيد الاستخدام
